qNo,question,scale
gseQ1,I can always manage to solve difficult problems if I try hard enough. ,gse
gseQ2,"If someone opposes me, I can find the means and ways to get what I want. ",gse
gseQ3,It is easy for me to stick to my aims and accomplish my goals. ,gse
gseQ4,I am confident that I could deal efficiently with unexpected events. ,gse
gseQ5,"Thanks to my resourcefulness, I know how to handle unforeseen situations. ",gse
gseQ6,I can solve most problems if I invest the necessary effort. ,gse
gseQ7,I can remain calm when facing difficulties because I can rely on my coping abilities. ,gse
gseQ8,"When I am confronted with a problem, I can usually find several solutions. ",gse
gseQ9,"If I am in trouble, I can usually think of a solution. ",gse
gseQ10,I can usually handle whatever comes my way.,gse
