qNo,question,scale
amiQ1,I feel sad or upset when I hear bad news.,ES
amiQ2,I start conversations with random people.,SM
amiQ3,I enjoy doing things with people I have just met.,SM
amiQ4,I suggest activities for me and my friends to do.,SM
amiQ6,"After making a decision, I will wonder if I have made the wrong choice.",ES
amiQ7,"Based on the last two weeks, I would say I care deeply about how my loved ones think of me.",ES
amiQ8,I go out with friends on a weekly basis.,SM
amiQ13,I feel awful if I say something insensitive.,ES
amiQ14,I start conversations without being prompted.,SM
amiQ16,I feel bad when I hear an acquaintance has an accident or illness.,ES
amiQ17,I enjoy choosing what to do from a range of activities.,SM
amiQ18,"If I realise I have been unpleasant to someone, I will feel terribly guilty afterwards.",ES
