qNo,question,subscale
bfasQ12,Feel others' emotions.,agreeCompassion
bfasQ13R,Waste my time.,conscIndustr
bfasQ18,Like order.,conscOrder
bfasQ22,Inquire about others' well-being.,agreeCompassion
bfasQ23R,Find it difficult to get down to work.,conscIndustr
bfasQ28,Keep things tidy.,conscOrder
bfasQ2R,Am not interested in other people's problems.,agreeCompassion
bfasQ3,Carry out my plans.,conscIndustr
bfasQ32R,Can't be bothered with other's needs.,agreeCompassion
bfasQ33R,Mess things up.,conscIndustr
bfasQ38,Follow a schedule.,conscOrder
bfasQ42,Sympathize with others' feelings.,agreeCompassion
bfasQ43,Finish what I start.,conscIndustr
bfasQ48R,Am not bothered by messy people.,conscOrder
bfasQ52R,Am indifferent to the feelings of others.,agreeCompassion
bfasQ53R,Don't put my mind on the task at hand.,conscIndustr
bfasQ58,Want everything to be 'just right',conscOrder
bfasQ62R,Take no time for others.,agreeCompassion
bfasQ63,Get things done quickly.,conscIndustr
bfasQ68R,Am not bothered by disorder.,conscOrder
bfasQ72,Take an interest in other people's lives.,agreeCompassion
bfasQ73,Always know what I am doing.,conscIndustr
bfasQ78R,Dislike routine.,conscOrder
bfasQ82R,Don't have a soft side.,agreeCompassion
bfasQ83R,Postpone decisions.,conscIndustr
bfasQ88,See that rules are observed.,conscOrder
bfasQ8R,Leave my belongings around.,conscOrder
bfasQ92,Like to do things for others.,agreeCompassion
bfasQ93R,Am easily distracted.,conscIndustr
bfasQ98,Want every detail taken care of.,conscOrder
