qNo,question,scale
nfcQ1,I would prefer complex to simple problems. ,nfc
nfcQ2,I like to have the responsibility of handling a situation that requires a lot of thinking.,nfc
nfcQ3R,Thinking is not my idea of fun.,nfc
nfcQ4R,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,nfc
nfcQ5R,I try to anticipate and avoid situations where there is likely a chance I will have to think in depth about something.,nfc
nfcQ6,I find satisfaction in deliberating hard and for long hours.,nfc
nfcQ7R,I only think as hard as I have to.,nfc
nfcQ8R,"I prefer to think about small, daily projects to long-term ones.",nfc
nfcQ9R,I like tasks that require little thought once I've learned them.,nfc
nfcQ10,The idea of relying on thought to make my way to the top appeals to me. ,nfc
nfcQ11,I really enjoy a task that involves coming up with new solutions to problems.,nfc
nfcQ12R,Learning new ways to think doesn't excite me very much.,nfc
nfcQ13,I prefer my life to be filled with puzzles that I must solve. ,nfc
nfcQ14,The notion of thinking abstractly is appealing to me. ,nfc
nfcQ15,"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought. ",nfc
nfcQ16R,I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,nfc
nfcQ17R,It's enough for me that something gets the job done; I don't care how or why it works.,nfc
nfcQ18,I usually end up deliberating about issues even when they do not affect me personally.,nfc
